"name_comuna","cod_com","sovi","vulnerablidad"
"Iquique",1101,-5.66084948588289,"Medio-baja"
"Alto Hospicio",1107,12.5835221241662,"Alta"
"Pozo Almonte",1401,8.01284853652585,"Medio-alta"
"Camina",1402,33.6758567940426,"Alta"
"Colchane",1403,35.7294918424861,"Alta"
"Huara",1404,19.1651219536907,"Alta"
"Pica",1405,6.77152720833205,"Medio-alta"
"Antofagasta",2101,-6.61724035894552,"Medio-baja"
"Mejillones",2102,-2.68503502129205,"Medio-baja"
"Sierra Gorda",2103,-9.86256145264508,"Medio-baja"
"Taltal",2104,0.602050217944753,"Medio-alta"
"Calama",2201,-3.49313336446025,"Medio-baja"
"Ollague",2202,6.18671659813437,"Medio-alta"
"San Pedro de Atacama",2203,2.1351264669449,"Medio-alta"
"Tocopilla",2301,-1.54024259018012,"Medio-baja"
"Maria Elena",2302,-12.1372599737615,"Medio-baja"
"Copiapo",3101,-6.22165002568548,"Medio-baja"
"Caldera",3102,-3.85870351622077,"Medio-baja"
"Tierra Amarilla",3103,9.4642523132799,"Medio-alta"
"Chanaral",3201,3.28715495874157,"Medio-alta"
"Diego de Almagro",3202,-4.49915097006929,"Medio-baja"
"Vallenar",3301,-0.648719303319852,"Medio-baja"
"Alto del Carmen",3302,9.39730185308536,"Medio-alta"
"Freirina",3303,5.88430216433039,"Medio-alta"
"Huasco",3304,-4.00331767496635,"Medio-baja"
"La Serena",4101,-7.81972561839319,"Medio-baja"
"Coquimbo",4102,-4.83657006235918,"Medio-baja"
"Andacollo",4103,2.85134675990407,"Medio-alta"
"La Higuera",4104,10.2434017135846,"Alta"
"Paiguano",4105,-0.864902725389227,"Medio-baja"
"Vicuna",4106,3.59394912390539,"Medio-alta"
"Illapel",4201,1.43393277838096,"Medio-alta"
"Canela",4202,11.7101369973696,"Alta"
"Los Vilos",4203,-2.91195749044929,"Medio-baja"
"Salamanca",4204,0.187227562885072,"Medio-alta"
"Ovalle",4301,-0.689436269043585,"Medio-baja"
"Combarbala",4302,6.87651935110878,"Medio-alta"
"Monte Patria",4303,9.65315355412557,"Medio-alta"
"Punitaqui",4304,12.8587006946934,"Alta"
"Rio Hurtado",4305,9.73039999869679,"Medio-alta"
"Valparaiso",5101,-10.5793557363238,"Medio-baja"
"Casablanca",5102,-6.2218846228981,"Medio-baja"
"Concon",5103,-14.6107269939586,"Baja"
"Juan Fernandez",5104,-7.8386001953197,"Medio-baja"
"Puchuncavi",5105,-4.77545561479893,"Medio-baja"
"Quintero",5107,-5.22805500035729,"Medio-baja"
