0_NDVI,10_NDVI,11_NDVI,12_NDVI,13_NDVI,14_NDVI,15_NDVI,16_NDVI,17_NDVI,18_NDVI,19_NDVI,1_NDVI,20_NDVI,2_NDVI,3_NDVI,4_NDVI,5_NDVI,6_NDVI,7_NDVI,8_NDVI,9_NDVI,COD_COMUNA,NOM_COM,NOM_PROV,NOM_REG
3106.349852,2568.474718,2380.656041,2399.238498,2870.335883,2757.314911,2816.095042,2474.111826,2088.777456,2525.394313,2115.047459,2694.884035,2402.754699,2979.96799,3062.145428,3064.559809,2726.424352,2978.443288,2910.612794,2717.916326,2585.22827,5402,Cabildo,Petorca,Valparaíso
4270.254514,3847.271465,3813.502884,3703.965911,4145.94851,3941.369573,4419.754508,3731.86755,3094.831921,3772.489108,3130.825069,3918.315169,3724.578482,4171.540167,4328.639383,4251.235601,3723.497113,4171.84776,4081.967368,3999.454528,3802.314593,5403,Papudo,Petorca,Valparaíso
4471.67074,4549.00232,4015.746858,4153.280494,4621.603842,4241.379887,4707.296409,4046.206066,3267.785598,4041.628292,3202.242225,4038.55368,4071.10944,4457.6786,4665.254152,4526.485565,3860.643006,4589.080403,4323.698946,4391.588871,4005.271324,5405,Zapallar,Petorca,Valparaíso
4686.014645,5194.060292,4507.520348,4658.702344,5055.175767,4809.833337,4965.063115,4435.4728,3716.728784,4437.80574,3915.121187,4332.624415,4162.065039,4893.666958,4989.584635,5036.671298,4398.967005,4879.599196,4873.581303,4826.701611,4599.981554,5503,Hijuelas,Quillota,Valparaíso
5015.116274,5891.357852,4987.11439,5225.282503,5596.693341,5314.528453,5479.636042,4997.920739,4227.954569,4900.78123,4386.136259,4888.896164,4943.834274,5280.634609,5467.49056,5505.606332,5048.987947,5373.297646,5352.446846,5330.747491,5170.639727,5504,La Cruz,Quillota,Valparaíso
4253.580129,4622.994161,3810.395695,4096.50124,4610.958945,4312.451779,4576.94086,3911.129181,3016.212831,3840.466614,3254.88535,3827.644585,3792.252481,4303.564364,4592.434202,4509.613903,3764.016312,4373.361336,4177.318881,4186.872845,3851.729347,5506,Nogales,Quillota,Valparaíso
4876.551945,5395.50324,4428.835709,4701.773061,5159.959395,4768.595567,5012.530669,4349.955307,3543.771391,4336.119515,3641.673675,4600.38294,4320.21665,4970.976834,5151.604972,5122.68035,4581.550855,5008.620667,4874.901004,4840.216487,4507.107193,5501,Quillota,Quillota,Valparaíso
4531.30526,5047.678748,4299.509575,4376.467588,4846.841852,4610.701427,4696.203765,4224.814486,3591.464745,4159.084446,3658.793875,4247.672511,4046.76579,4658.060216,4731.773455,4752.026197,4323.547314,4699.72405,4686.021353,4590.825545,4467.892009,5502,Calera,Quillota,Valparaíso
4253.116928,4222.690947,3900.099148,4371.151095,4617.846252,4294.951041,4775.824949,4107.071006,3410.91632,4194.102833,3319.560766,3911.429619,4276.972549,4349.388117,4650.524117,4492.100928,3923.655504,4452.21926,4126.035934,4261.368792,3956.294744,5105,PuchuncavÃ­,ValparaÃ­so,Valparaíso
3896.856966,3491.40824,3624.937693,3789.186579,4050.92484,3820.682085,4254.319179,3619.75604,3128.655658,3826.7061,3088.991388,3673.141087,3750.01416,3963.141339,4120.02881,4038.97943,3736.250794,4049.435485,3801.50244,3871.594521,3689.811487,5107,Quintero,ValparaÃ­so,Valparaíso
4244.097224,3969.889582,3486.381992,3523.770892,4160.300196,3885.161441,4189.294564,3584.394855,2810.095981,3647.166129,2947.225724,3735.944801,3459.464566,4088.042344,4402.37593,4263.992949,3611.035558,4148.317515,4035.25446,3901.119133,3659.063094,5401,La Ligua,Petorca,Valparaíso
2654.15538,2042.713223,1873.833566,1939.011906,2408.062985,2321.652064,2442.138263,2137.92871,1811.94007,2194.720092,1795.231338,2279.051426,2136.873037,2483.372354,2484.826001,2519.865573,2314.766485,2427.217196,2406.060799,2247.558545,2235.138776,5404,Petorca,Petorca,Valparaíso
4096.369237,4790.674241,4628.3575,4676.769088,4952.366955,4831.810206,4765.052734,4547.528483,4285.149841,4728.625563,4289.497461,3763.301097,4466.131114,4140.148371,4142.29194,4552.831188,4303.790512,4486.552786,4488.359556,4498.124549,4531.226215,5704,Panquehue,San Felipe,Valparaíso
3728.767365,3491.409472,3209.674679,3142.302257,3696.196344,3517.710839,3572.383456,3272.741946,2819.977624,3343.404086,2845.394776,3343.640581,3114.227825,3677.700572,3689.110753,3844.88475,3363.124036,3601.719109,3546.004883,3444.066833,3284.548952,5702,Catemu,San Felipe,Valparaíso
3670.94539,3460.673783,3321.644638,3351.313912,3720.440533,3475.993207,3545.941199,3270.582224,3004.014846,3525.588936,3072.254071,3278.955179,3369.709733,3648.828109,3680.072744,3819.148887,3347.128136,3680.016525,3604.196264,3423.735641,3278.370125,5703,Llaillay,San Felipe,Valparaíso
2096.988171,1775.206076,1714.285367,1642.923163,1951.00119,1936.386732,1916.991801,1745.939803,1503.397676,1758.657692,1569.82802,1901.91894,1762.418976,2024.215247,2092.039613,2058.228696,1956.223272,2035.534059,2017.415009,1852.126251,1811.273376,5705,Putaendo,San Felipe,Valparaíso
1116.533819,1342.269132,1313.879062,1238.155235,1245.682779,1430.088213,1386.085734,1277.591981,1162.898066,1211.704957,1245.309296,1273.409613,1302.423079,1370.492868,1131.378459,1237.706145,1307.95621,1269.440714,1252.938668,1357.015114,1295.909799,5301,Los Andes,Los Andes,Valparaíso
3837.261668,3434.076998,3231.216366,3099.21778,3471.557412,3414.471514,3471.729431,3120.510107,2745.563711,3258.238809,2836.451456,3307.537457,3050.821116,3603.224921,3648.47078,3843.808016,3468.125329,3739.430918,3644.337085,3327.848547,3241.851256,5303,Rinconada,Los Andes,Valparaíso
1889.235092,1786.595515,1736.488873,1641.388399,1872.855394,1964.209474,1883.908062,1741.306682,1482.61012,1714.778192,1610.60263,1795.769132,1722.230724,1936.496358,1904.591643,1898.753254,1853.929008,1884.883358,1885.368099,1843.676444,1746.091747,5304,San Esteban,Los Andes,Valparaíso
4376.033141,4438.304049,4095.493057,3928.185287,4413.019778,4325.370081,4284.255703,3926.993085,3398.005465,3947.839618,3457.932269,4067.782954,3560.890855,4453.101536,4461.385147,4656.474575,4344.82445,4480.684695,4470.16597,4305.011153,4150.29844,5701,San Felipe,San Felipe,Valparaíso
3595.697996,3342.29966,3184.599436,3049.502194,3525.024131,3473.534342,3389.68989,3090.2795,2642.559666,3127.153993,2804.011933,3286.337827,2960.234807,3589.416288,3643.10416,3653.380755,3461.680991,3538.207284,3541.153369,3314.873941,3212.985207,5706,Santa MarÃ­a,San Felipe,Valparaíso
3063.26081,2824.175155,2646.424501,2530.362683,2894.541345,2856.751507,2864.280149,2519.399557,2212.535747,2631.138868,2344.335879,2699.561892,2480.008051,3059.439982,3043.066022,3038.622828,2827.847778,3033.657032,2976.741351,2824.78188,2588.940362,5302,Calle Larga,Los Andes,Valparaíso
4990.420719,5350.402928,4240.803126,4781.551831,5207.193422,4760.602979,5066.390856,4400.158987,3278.02595,4246.533322,3539.890829,4491.193009,4163.88654,5151.041927,5357.548411,5261.719487,4476.988872,5132.449838,4788.370516,4793.419282,4391.498816,5803,OlmuÃ©,Quillota,Valparaíso
4770.049476,5177.085302,4239.321167,4627.259634,5080.783979,4552.267218,4965.666446,4296.325611,3370.078791,4100.847109,3438.776199,4408.719831,4008.674858,4872.047678,5091.40459,5069.726536,4205.123531,4874.454996,4552.121989,4553.468858,4296.798991,5801,QuilpuÃ©,ValparaÃ­so,Valparaíso
4145.248934,4561.650413,3417.032489,3786.233588,4123.916476,3599.499838,3993.173656,3463.836484,2811.388304,3507.146815,2790.645305,3787.520886,3399.874918,4241.28275,4409.154758,4343.389216,3633.710987,4315.83186,3978.174057,4025.56776,3714.000221,5804,Villa Alemana,ValparaÃ­so,Valparaíso
4541.060152,4835.899724,3864.284328,4139.939912,4507.656953,4139.237081,4414.861927,3834.036681,3120.543401,3765.370945,3080.652426,4167.44911,3741.452928,4484.172714,4658.489217,4617.703176,4034.7527,4568.863474,4288.796914,4304.45264,3987.344373,5802,Limache,Quillota,Valparaíso
5424.772814,5112.409683,4935.060234,5242.914209,5636.378802,5165.383914,5619.871559,4909.174408,3773.009355,4866.698181,4078.233968,5320.846766,4805.572364,5387.772425,5613.894911,5579.809964,4796.60735,5133.555067,4765.407938,5060.82972,4874.289349,5101,ValparaÃ­so,ValparaÃ­so,Valparaíso
3922.032419,3643.4229,3367.367929,3692.045908,3952.349751,3691.7557,4074.898741,3446.079501,2931.491557,3600.13445,2813.878207,3558.201192,3591.43552,3805.953674,4010.972553,3961.106285,3514.017011,3902.49132,3616.246355,3731.380279,3481.201723,5103,ConcÃ³n,ValparaÃ­so,Valparaíso
3856.642065,3690.281597,3622.236454,3929.562349,4210.810432,3960.367079,4278.987235,3624.250967,3093.201107,3935.423913,3215.382615,3580.021169,3882.486163,3843.487835,4158.772873,4160.984599,3627.028171,4040.380404,3867.599606,4007.201905,3706.111556,5109,ViÃ±a del Mar,ValparaÃ­so,Valparaíso
4413.357184,4043.678158,3957.736483,4523.497438,4479.270651,4369.279012,4822.843933,4112.806973,3528.647917,4417.621333,3604.697255,4258.497935,4283.140296,4299.993252,4510.671338,4579.81093,3869.031557,4387.565613,4081.208407,4362.82353,4068.954246,5602,Algarrobo,San Antonio,Valparaíso
4449.340068,4553.602095,3509.842623,4089.139633,4318.760103,4082.256291,4512.138149,3821.385275,3169.502753,4291.836937,3424.810865,4297.937927,3693.645288,4411.053064,4631.081429,4748.254933,3875.626274,4541.68138,4052.590753,4234.086446,3915.451911,5603,Cartagena,San Antonio,Valparaíso
4519.408995,4163.641025,4194.088152,4628.298612,4512.516226,4487.955557,4769.712208,4080.961934,3479.558503,4709.931227,3707.180473,4515.545908,4226.768487,4565.534901,4800.914087,4856.176451,4145.346761,4524.342769,4296.742794,4582.07135,4086.080737,5605,El Tabo,San Antonio,Valparaíso
3940.948396,4454.429748,3863.983527,4129.327904,4188.219362,4021.650331,4413.63999,3831.917431,3445.172843,4440.712901,3605.017745,3862.386624,3933.189967,3928.710001,4106.162357,4168.69171,3728.896526,4130.861191,3899.59411,4100.969399,3868.041763,5601,San Antonio,San Antonio,Valparaíso
4463.838657,3945.075255,4165.468032,4796.993622,4503.655951,4579.184609,4771.107725,4242.589048,3616.841397,4725.389092,3832.004827,4634.271726,4396.581352,4520.322365,4627.987327,4655.692834,4009.504097,4398.262291,4326.825788,4594.130037,4237.800072,5604,El Quisco,San Antonio,Valparaíso
