0_NDVI,10_NDVI,11_NDVI,12_NDVI,13_NDVI,14_NDVI,15_NDVI,16_NDVI,17_NDVI,18_NDVI,19_NDVI,1_NDVI,20_NDVI,2_NDVI,3_NDVI,4_NDVI,5_NDVI,6_NDVI,7_NDVI,8_NDVI,9_NDVI,COD_COMUNA,NOM_COM,NOM_PROV,NOM_REG
4468.217483,3999.235886,3968.84713,3640.568021,3103.774393,4604.968734,4761.593531,3569.208755,2543.004788,3350.040682,2618.430758,4368.075717,2908.861812,4379.786526,4442.568551,4230.811118,3616.378469,4416.724845,3911.230883,3975.891496,3585.206326,5402,Cabildo,Petorca,Valparaíso
6722.297567,6767.186919,6709.748178,6414.919382,5011.558517,7188.200352,7268.0225,6049.664273,4361.923512,5369.528592,4359.205226,6609.580038,5539.970727,6953.137637,6936.729493,6815.036581,5816.499758,6933.666779,6256.550894,6404.165682,6191.671711,5403,Papudo,Petorca,Valparaíso
7120.996708,7029.40513,7021.673357,6741.817504,5529.776111,7475.255794,7553.712948,6339.347286,4737.412093,5686.607647,4532.01612,7001.40091,5811.742098,7287.650736,7286.920262,7056.67727,6178.91558,7273.094084,6534.199981,6731.477205,6545.200649,5405,Zapallar,Petorca,Valparaíso
6105.140534,6062.822627,6275.115774,5850.50668,5286.238882,6342.732021,6476.539591,5771.478506,4691.950435,5059.19396,4463.303922,6003.349698,5466.086029,6230.20447,6418.906055,6185.855723,5705.351815,6040.454662,5873.448902,5862.379002,5665.331331,5503,Hijuelas,Quillota,Valparaíso
6557.236808,6595.236927,6616.064264,6403.155736,5767.46219,6833.302363,7024.794029,6244.254502,5347.911201,5602.692053,5018.363256,6453.091283,5980.749588,6726.100923,6836.045083,6694.591926,6251.577554,6775.024367,6427.408137,6428.338596,6378.992887,5504,La Cruz,Quillota,Valparaíso
6053.422474,5890.33096,6120.553911,5656.183926,4901.913959,6201.386741,6369.911207,5577.662968,4262.087703,4641.684989,3950.011342,5850.702713,4987.92142,6070.425973,6262.178266,5949.225926,5435.169969,5977.602261,5594.744856,5586.120487,5456.797278,5506,Nogales,Quillota,Valparaíso
6437.611911,6437.378421,6457.758893,6281.748843,5407.36573,6805.258598,6849.024714,6010.929673,5118.994338,5339.249692,4484.504548,6497.534229,6067.581209,6723.539387,6813.223514,6587.295225,5995.48514,6596.273609,6209.96957,6241.311559,6107.076559,5501,Quillota,Quillota,Valparaíso
5974.789147,5992.019358,6026.506181,5780.507352,5009.026289,6132.816101,6447.094703,5611.090844,4501.252079,5025.41868,4095.33929,5750.610268,5206.065333,6154.985484,6327.619268,6019.391127,5457.873052,6022.019658,5741.501939,5780.127154,5688.613303,5502,Calera,Quillota,Valparaíso
6415.621326,6528.905958,6533.328677,6348.091559,5391.420503,7058.963005,7133.696701,6107.081561,5299.170894,5391.428134,4650.482826,6427.619759,5991.219714,6691.082965,6804.601797,6621.121684,5866.447857,6659.232845,6117.195089,6238.168271,6181.32416,5105,PuchuncavÃ­,ValparaÃ­so,Valparaíso
5616.723227,5905.630484,6003.752572,5766.953989,4731.029939,6497.381123,6438.181396,5430.908823,4742.486731,5130.541224,4245.210004,5907.846035,5784.239949,6168.786614,6258.416717,6026.717772,5170.876264,6002.1392,5518.052189,5593.105337,5630.810322,5107,Quintero,ValparaÃ­so,Valparaíso
6625.463454,6147.186033,6238.919192,5711.77343,4729.195852,6717.253362,6944.386601,5631.538939,3924.824912,5065.182814,4046.679446,6278.167817,4937.6453,6337.257683,6561.364664,6373.331223,5581.418605,6496.592364,6004.124411,5944.146475,5804.340718,5401,La Ligua,Petorca,Valparaíso
3431.709586,2678.786971,2649.555075,2493.655572,2257.866719,3598.592851,3772.733662,2822.732222,2116.038599,2671.897003,2114.302678,3447.728941,2195.23946,3362.943028,3374.622611,3386.467127,2831.669492,3233.29437,3014.430679,3054.002775,2640.696838,5404,Petorca,Petorca,Valparaíso
4975.643927,5094.528744,5036.785377,4841.731398,4695.19076,5683.214728,5695.317161,4835.923673,4333.251232,5005.708595,4270.264899,4543.486811,4751.974977,4754.861916,5081.43881,4945.432234,4466.29415,5342.100719,4865.683083,4787.957082,4509.150706,5704,Panquehue,San Felipe,Valparaíso
